14:03:18 | INFO | Running node: Prepare Receptor: fold_tlr_1_isoform_x1_scophthalmus_maximus_model_0.cif
14:03:18 | INFO | 准备受体 /home/runner/work/bio-analyze/bio-analyze/packages/docking/tests/data/receptor/fold_tlr_1_isoform_x1_scophthalmus_maximus_model_0.cif 到 /home/runner/work/bio-analyze/bio-analyze/packages/docking/tests/output/smina/fold_tlr_1_isoform_x1_scophthalmus_maximus_model_0.pdbqt
14:03:18 | INFO | Running node: Prepare Ligand: AAAAMM.xaa.sdf
14:03:18 | INFO | 准备配体 /home/runner/work/bio-analyze/bio-analyze/packages/docking/tests/data/ligand/AAAAMM.xaa.sdf 到 /home/runner/work/bio-analyze/bio-analyze/packages/docking/tests/output/smina/AAAAMM.xaa.pdbqt
14:03:18 | INFO | Running node: Single Docking
14:03:18 | INFO | Calculated box: center=[0.52355 3.34465 0.02725], size=[ 7.9457 10.6975  4.0703]
14:03:18 | INFO | 正在对接 fold_tlr_1_isoform_x1_scophthalmus_maximus_model_0.pdbqt 和 AAAAMM.xaa.pdbqt
14:03:18 | INFO | 设置 Smina 搜索盒子 (中心=[0.52355, 3.3446499999999997, 0.027249999999999996], 尺寸=[7.9457, 10.6975, 4.0703])...
14:03:18 | INFO | 执行 Smina 命令: /mock/path/to/smina --receptor /home/runner/work/bio-analyze/bio-analyze/packages/docking/tests/output/smina/fold_tlr_1_isoform_x1_scophthalmus_maximus_model_0.pdbqt --ligand /home/runner/work/bio-analyze/bio-analyze/packages/docking/tests/output/smina/AAAAMM.xaa.pdbqt --center_x 0.52355 --center_y 3.3446499999999997 --center_z 0.027249999999999996 --size_x 7.9457 --size_y 10.6975 --size_z 4.0703 --exhaustiveness 1 --num_modes 1 --min_rmsd_filter 1.0 --out /home/runner/work/bio-analyze/bio-analyze/packages/docking/tests/output/smina/smina_out.pdbqt --cpu 4
14:03:18 | INFO | 保存对接姿态到: /home/runner/work/bio-analyze/bio-analyze/packages/docking/tests/output/smina/docked.pdbqt
14:03:18 | INFO | Running node: Generate Docking Summary
14:03:18 | INFO | 正在将汇总写入 /home/runner/work/bio-analyze/bio-analyze/packages/docking/tests/output/smina/docking_summary.csv (格式: csv)
